Solution: 3, Start Location: NashvilleTN, Max Time: 20 hrs, Speed: 50 mph

1. NashvilleTN, AthensTN, Nashville_tofrom_Athens, 0.022992035090774944, 3.38, 0.9125239835839868, 9.125239835839867 

2. AthensTN, ChattanoogaTN, Athens_tofrom_Chattanooga, 0.048577655218693706, 1.16, 0.7861957481711881, 7.861957481711881 

3. ChattanoogaTN, AthensTN, Athens_tofrom_Chattanooga, 0.048577655218693706, 1.16, 0.9125239835839868, 9.125239835839867 

4. AthensTN, KnoxvilleTN, Knoxville_tofrom_Athens, 0.014680035194815833, 1.16, 0.600801523518138, 6.00801523518138 

5. KnoxvilleTN, CookevilleTN, Cookeville_tofrom_Knoxville, 0.032166766907518206, 2.04, 0.6875921040088477, 6.875921040088477 

6. CookevilleTN, NashvilleTN, Nashville_tofrom_Cookeville_on_I40, 0.05383700307952108, 1.6, 0.6278773150141299, 6.2787731501412996 

Start Location: NashvilleTN, Total Trip Preference: 3.835821825006308 , Total Trip Distance: 525.0 miles, Total Trip Time: 18.987084657241475 hrs
