Start Location: CharlestonWV, Total Trip Preference: 30.42821844556393 , Total Trip Distance: 384.0 miles, Total Trip Time: 109.96218445563935 hrs



Start Location: CharlestonWV, Total Trip Preference: 30.536206673483665 , Total Trip Distance: 488.0 miles, Total Trip Time: 113.12206673483666 hrs



Start Location: CharlestonWV, Total Trip Preference: 34.0002196234917 , Total Trip Distance: 3860.6 miles, Total Trip Time: 199.21419623491695 hrs



